"id","id_voluntario","id_gusto","rating","created_at","updated_at"
1,1,7,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
2,1,18,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
3,1,15,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
4,1,19,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
5,1,4,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
6,1,12,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
7,1,6,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
8,1,27,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
9,1,3,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
10,1,20,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
11,2,9,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
12,2,5,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
13,2,18,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
14,2,12,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
15,2,17,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
16,2,26,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
17,2,31,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
18,3,2,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
19,3,16,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
20,3,15,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
21,3,14,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
22,3,22,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
23,3,9,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
24,3,21,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
25,3,31,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
26,3,11,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
27,4,14,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
28,4,28,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
29,4,22,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
30,4,21,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
31,4,20,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
32,4,13,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
33,4,25,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
34,5,4,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
35,5,3,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
36,5,22,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
37,5,26,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
38,5,2,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
39,5,10,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
40,5,5,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
41,5,13,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
42,6,13,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
43,6,10,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
44,6,9,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
45,6,25,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
46,6,28,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
47,6,17,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
48,6,1,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
49,6,21,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
50,6,4,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
51,7,4,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
52,7,27,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
53,7,29,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
54,7,21,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
55,7,11,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
56,7,18,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
57,8,21,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
58,8,20,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
59,8,5,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
60,8,31,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
61,8,4,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
62,8,22,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
63,9,26,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
64,9,22,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
65,9,12,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
66,9,3,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
67,9,24,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
68,9,13,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
69,9,20,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
70,9,2,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
71,9,17,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
72,9,19,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
73,10,10,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
74,10,19,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
75,10,24,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
76,10,4,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
77,10,11,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
78,10,7,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
79,11,17,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
80,11,20,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
81,11,9,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
82,11,5,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
83,11,15,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
84,11,29,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
85,12,4,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
86,12,15,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
87,12,7,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
88,12,12,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
89,12,21,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
90,12,20,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
91,13,8,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
92,13,26,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
93,13,13,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
94,13,25,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
95,13,29,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
96,13,18,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
97,14,15,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
98,14,2,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
99,14,12,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
100,14,31,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
101,14,3,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
102,14,14,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
103,14,17,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
104,14,21,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
105,15,23,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
106,15,14,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
107,15,32,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
108,15,13,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
109,15,4,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
110,16,15,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
111,16,22,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
112,16,24,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
113,16,2,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
114,16,21,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
115,17,9,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
116,17,13,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
117,17,30,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
118,17,23,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
119,17,4,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
120,17,7,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
121,17,24,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
122,17,10,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
123,18,24,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
124,18,25,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
125,18,32,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
126,18,28,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
127,18,4,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
128,18,16,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
129,19,25,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
130,19,16,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
131,19,32,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
132,19,11,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
133,19,19,2,"2017-11-12 21:15:34","2017-11-12 21:15:34"
134,19,2,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
135,19,18,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
136,19,26,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
137,20,17,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
138,20,16,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
139,20,3,3,"2017-11-12 21:15:34","2017-11-12 21:15:34"
140,20,30,5,"2017-11-12 21:15:34","2017-11-12 21:15:34"
141,20,1,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
142,20,9,1,"2017-11-12 21:15:34","2017-11-12 21:15:34"
143,20,27,4,"2017-11-12 21:15:34","2017-11-12 21:15:34"
